Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,DD/1,Book,"Taxmann's Companies Act, 2013(BARE ACT)",,,,2013,,,C19/6
"12, Old Post Office St.",Near High Court,DD/1,Book,"Commercials The Companies Act, 2013 (BARE ACT)",,,,2024,,,C19/7
"12, Old Post Office St.",Near High Court,SG/5,Book,"Taxmann's a Comparative study of Companies Act, 2013 and company rules and forms with company rules ready reckoner Companies Act, 1956",,,,2013,,,C19/8
"12, Old Post Office St.",Near High Court,SG/5,Book,"Taxmann's Companies Act, 2013 with rules",,,,2013,,,C19/9
"12, Old Post Office St.",Near High Court,SG/3,Book,"Bharat's Companies Act Amendment Act, 2002",,,2nd,2003,,,C19/10
"12, Old Post Office St.",Near High Court,SG/3,Book,Taxmann's Companies Act with SEBI Rules,,,,1995,,,C19/11
"12, Old Post Office St.",Near High Court,SG/5,Book,"A Ramaiya Guide to the Companies Act Part 1,2,3 Appendix 1,2,3,4,5,6 cumulative supplement",,,17th,2010,,,C19/12
"12, Old Post Office St.",Near High Court,SG/6,Book,"A Ramaiya Guide to the Companies Act Part 1,2,3 Appendix 1,2,3,4,5,6 Subject index 1 Supplement 1,2",,,19th,2021,,,C19/13
"12, Old Post Office St.",Near High Court,ST/1,Book,"Companies Act, 2013 with rules and forms",,,,2015,,,C19/14
"12, Old Post Office St.",Near High Court,ST/1,Book,Bharat's Companies Act with rules,,,32nd,2019,,,C19/15
"12, Old Post Office St.",Near High Court,ST/1,Book,Taxmann's companies act with rules,,,13th,2020,,,C19/16
"12, Old Post Office St.",Near High Court,ST/1,Book,"Bharat's Companies Act,2013",,,34th,2021,,,C19/17
"12, Old Post Office St.",Near High Court,ST/1,Book,"Taxmann's guide to Companies Bill, 2011",,,,,,,C19/18
"12, Old Post Office St.",Near High Court,LIB/3,Book,A Ramaiya guide to the Companies Act,,,12th,1992,,,C19/19
"12, Old Post Office St.",Near High Court,LIB/3,Book,A Ramaiya guide to the Companies Act,,,15th,2001,,,C19/20
"12, Old Post Office St.",Near High Court,LIB/3,Book,"A Ramaiya Companies Act, 2013",,,18th,2015,,,C19/21
"12, Old Post Office St.",Near High Court,LIB/3,Book,"A Ramaiya guide to the Companies Act Appendix 1,2,3,4,5,6 supplement + table of cases",,,18th,2015,,,C19/22
"12, Old Post Office St.",Near High Court,LIB/3,Book,"T.P. Ghosh Companies Act, 2013",,,,,,,C19/23
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Vargava and Vargava Companies Act law and practice,,,,1990,,,C19/24
"12, Old Post Office St.",Near High Court,,Book,Handbook on company directors with evaluation of the board,,,,,,,
"12, Old Post Office St.",Near High Court,Lib/3,Book,Handbook to companies act (BARE ACT),,,,1992,,,C19/25
"12, Old Post Office St.",Near High Court,LIB/3,Book,Manual of Companies Act Corporate law and SEBI guideline,Ravi Puliani,,,1998,,,C19/26
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat's Companies rules and forms,,,16th,2014,,,C19/27
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act 2013 with rules and forms,,,,2015,,,C19/28
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act with rules 2019,,,,2019,,,C19/29
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's Companies Act 2013 with rules,,,,,,,C19/30
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat's Companies Act with rules,,,31st,2018,,,C19/31
"12, Old Post Office St.",Near High Court,LIB/3,Book,"Universal's the Companies Act, 1956",,,,2012,,,C19/32
"12, Old Post Office St.",Near High Court,CONF 1,Book,Companies Act Amendment Companies Act 2000 (BARE ACT),,,,2001,,,C19/33
"12, Old Post Office St.",Near High Court,CONF 1,Book,Companies Act 2nd amendment Companies Act 2000 (BARE ACT),,,,2003,,,C19/34
"12, Old Post Office St.",Near High Court,DM/4,Book,Taxmann's Companies Act with rules,,,17th,2022,,,C19/35
"12, Old Post Office St.",Near High Court,DM/4,Book,Taxmann's Companies Act with rules,,,21st,2024,,,C19/36
"12, Old Post Office St.",Near High Court,RG/1,Book,Handbook on directors under Companies Act 2013,,,,,,,C19/37
"12, Old Post Office St.",Near High Court,TOP FLR,Book,Taxmann's Companies Act,,,,1997,,,C19/38
"12, Old Post Office St.",Near High Court,AKD/2,Book,Justice Mallick commentaries on Indian Contract act,M.R. Mallick,,2nd,2008,,,C20/1
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Dutta on contract Indian Contract Act, 1872",H.K. Saharay,,11th,2013,,,C20/2
"12, Old Post Office St.",Near High Court,AKD/2,Book,Cheshire and Fifoots Law of Contract,M.P. Furmston,,9th,1976,,,C20/3
"12, Old Post Office St.",Near High Court,AKD/2,Book,"K D Srivastava commentaries on Contract Labour (Regulation and Abolition) Act, 1970",G. Saron,,3rd,1982,,,C20/4
"12, Old Post Office St.",Near High Court,AKD/2,Book,Indian Contract and Specific Relief Act,Jeevan Lal Kapur,,9th,1972,,,C20/5
"12, Old Post Office St.",Near High Court,AKD/2,Book,Pollock and Mulla Indian Contract and Specific Relief Acts,Nilima Bhadbhade,,14th,2012,,"Vol.1,2",C20/6
"12, Old Post Office St.",Near High Court,AKD/2,Book,T.S. Venkatesa Iyar's The law of contract and tenders,,,9th,2004,,"Vol.1,2",C20/7
"12, Old Post Office St.",Near High Court,AKD/2,Book,Pollock and Mulla Indian Contract and Specific Relief Acts,R. Yashad Vardhan,,15th,2017,,,C20/8
"12, Old Post Office St.",Near High Court,DD/1,Book,"Indian Contract Act , 1872 (BARE ACT)",,,,2008,,,C20/9
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Contract labour (Regulation and abolition) act, 1970(BARE ACT)",,,,2016,,,C20/10
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Contract labour (Regulation and abolition) act, 1970 with W.B. rules, 1972 (BARE ACT)",,,,2017,,,C20/11
"12, Old Post Office St.",Near High Court,SG/3,Book,"The Contract labour (Regulation and abolition) act, 1970(BARE ACT)",,,,2022,,,C20/12
"12, Old Post Office St.",Near High Court,ST/1,Book,Pollock and Mulla Indian Contract and Specific Relief Act,Nilima Bhadbhade,,12th,,,"Vol. 1,2",C20/13
"12, Old Post Office St.",Near High Court,ST/1,Book,"V.K. Kharbanda commentaries on contract labour (regulation and abolition) Act, 1970",,,5th,2003,,,C20/14
"12, Old Post Office St.",Near High Court,LIB/3,Book,Dutt on contract,S.K.Roychowdhury,,7th,1990,,,C20/15
"12, Old Post Office St.",Near High Court,LIB/3,Book,Dutt on contract,S.K.Roychowdhury,,8th,1994,,,C20/16
